City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Usinsk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
212,Kushmurun,KZ,47.9714,80.4392,64.2,69,7,9.86,clear sky
213,Turayf,SA,29.9697,40.2064,91.54,16,22,3.98,few clouds
214,Savonlinna,FI,61.8699,28.88,55.45,94,75,2.3,broken clouds
215,Vestmannaeyjar,IS,63.4427,-20.2734,51.94,87,50,13.56,scattered clouds
216,Grand River South East,MU,-20.4081,57.7,67.24,66,82,20.69,broken clouds
217,Khani,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
218,Manbij,SY,36.5281,37.9549,82.36,42,0,13.49,clear sky
219,Clyde River,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
220,Borama,SO,9.4942,50.8122,76.32,80,9,38.45,clear sky
221,Nelson Bay,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
222,Talnakh,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
223,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.75,35,99,4.36,overcast clouds
224,Port-Gentil,GA,-1.5843,14.2591,82.4,47,100,7.87,light rain
225,Batabano,CU,22.7164,-82.2881,92.01,57,99,7.0,overcast clouds
226,Chico,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
227,Ngukurr,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
228,Nemuro,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
229,Namatanai,PG,-3.6667,152.4333,80.19,77,68,9.13,broken clouds
230,Asosa,ET,10.0667,34.5333,60.17,93,100,3.36,overcast clouds
231,Port Augusta,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
232,Avera,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
233,Moanda,GA,-1.5843,14.2591,82.4,47,100,7.87,light rain
234,Flagstaff,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
235,Acopiara,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
236,Aripuana,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
237,Elko,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
238,Puqi,CN,39.4547,75.9797,79.34,24,0,3.76,clear sky
239,Petatlan,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
240,Gravelbourg,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
241,Yangjiang,CN,39.4547,75.9797,79.34,24,0,3.76,clear sky
242,Isangel,VU,-15.5333,167.1667,78.69,86,61,12.95,broken clouds
243,Zheleznogorsk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
244,Bandundu,CD,-3.3167,17.3667,86.07,39,97,2.35,overcast clouds
245,Yenotayevka,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
246,Norman Wells,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
247,Bethel,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
248,Mukhen,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
249,Hurghada,EG,31.3525,27.2453,77.94,73,0,8.95,clear sky
250,Galiwinku,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
251,Lorengau,PG,-3.6667,152.4333,80.19,77,68,9.13,broken clouds
252,Carupano,VE,10.0644,-72.545,89.71,58,98,7.85,overcast clouds
253,Nizhneyansk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
254,Mocuba,MZ,-23.865,35.3833,66.92,90,4,6.22,clear sky
255,Bahar,IR,37.4727,49.4622,79.88,64,0,1.92,clear sky
256,Bubaque,GW,11.2833,-15.8333,80.47,87,100,14.76,overcast clouds
257,Skjervoy,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
258,Tumannyy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
259,Lincoln,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
260,Vilya,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
261,Dhidhdhoo,MV,-0.6,73.0833,77.36,84,100,20.49,overcast clouds
262,Viseu,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
263,Kontagora,NG,9.2,12.4833,71.74,97,98,2.73,overcast clouds
264,Attawapiskat,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
265,Fereydun Kenar,IR,37.4727,49.4622,79.88,64,0,1.92,clear sky
266,Teluk Nibung,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
267,Shumskiy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
268,Kjollefjord,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
269,Folldal,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
270,Bage,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
271,Tuatapere,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
272,Zhigansk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
273,Yablonovo,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
274,Kabo,CF,5.0314,25.1361,71.11,96,93,2.1,light rain
275,Naze,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
276,Iqaluit,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
277,Riviere-Au-Renard,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
278,Safaga,EG,31.3525,27.2453,77.94,73,0,8.95,clear sky
279,Mogadishu,SO,9.4942,50.8122,76.32,80,9,38.45,clear sky
280,Rujiena,LV,57.8975,25.3316,48.56,86,62,5.57,broken clouds
281,Vila Franca Do Campo,PT,33.0833,-16.3333,67.42,78,20,16.11,few clouds
282,Marsabit,KE,2.3284,37.9899,64.44,58,79,23.98,broken clouds
283,Dauphin,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
284,Agaro,ET,10.0667,34.5333,60.17,93,100,3.36,overcast clouds
285,George,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
286,Yulara,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
287,Nakhon Thai,TH,17.1006,100.8374,77.31,92,99,1.03,overcast clouds
288,Segezha,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
289,Sabha,LY,31.7561,25.0865,78.85,65,0,11.03,clear sky
290,Lompoc,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
291,Voznesenye,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
292,Upernavik,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
293,Muzhi,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
294,Ponta Do Sol,PT,32.6667,-17.1,75.0,81,8,7.83,clear sky
295,Rio Gallegos,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
296,Piacabucu,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
